,day,month,Temperature,RH,Ws,Rain,FFMC,DMC,DC,ISI,BUI,FWI,Classes,Region
0,1,6,29.0,57,18,0.0,65.7,3.4,7.6,1.3,3.4,0.5,0,1
1,2,6,29.0,61,13,1.3,64.4,4.1,7.6,1.0,3.9,0.4,0,1
2,3,6,26.0,82,22,13.1,47.1,2.5,7.1,0.3,2.7,0.1,0,1
3,4,6,25.0,89,13,2.5,28.6,1.3,6.9,0.0,1.7,0.0,0,1
4,5,6,27.0,77,16,0.0,64.8,3.0,14.2,1.2,3.9,0.5,0,1
5,6,6,31.0,67,14,0.0,82.6,5.8,22.2,3.1,7.0,2.5,1,1
6,7,6,33.0,54,13,0.0,88.2,9.9,30.5,6.4,10.9,7.2,1,1
7,8,6,30.0,73,15,0.0,86.6,12.1,38.3,5.6,13.5,7.1,1,1
8,9,6,25.0,88,13,0.2,52.9,7.9,38.8,0.4,10.5,0.3,0,1
9,10,6,28.0,79,12,0.0,73.2,9.5,46.3,1.3,12.6,0.9,0,1
10,11,6,31.0,65,14,0.0,84.5,12.5,54.3,4.0,15.8,5.6,1,1
11,12,6,26.0,81,19,0.0,84.0,13.8,61.4,4.8,17.7,7.1,1,1
12,13,6,27.0,84,21,1.2,50.0,6.7,17.0,0.5,6.7,0.2,0,1
13,14,6,30.0,78,20,0.5,59.0,4.6,7.8,1.0,4.4,0.4,0,1
14,15,6,28.0,80,17,3.1,49.4,3.0,7.4,0.4,3.0,0.1,0,1
15,16,6,29.0,89,13,0.7,36.1,1.7,7.6,0.0,2.2,0.0,0,1
16,17,6,30.0,89,16,0.6,37.3,1.1,7.8,0.0,1.6,0.0,0,1
17,18,6,31.0,78,14,0.3,56.9,1.9,8.0,0.7,2.4,0.2,0,1
18,19,6,31.0,55,16,0.1,79.9,4.5,16.0,2.5,5.3,1.4,0,1
19,20,6,30.0,80,16,0.4,59.8,3.4,27.1,0.9,5.1,0.4,0,1
20,21,6,30.0,78,14,0.0,81.0,6.3,31.6,2.6,8.4,2.2,1,1
21,22,6,31.0,67,17,0.1,79.1,7.0,39.5,2.4,9.7,2.3,0,1
22,23,6,32.0,62,18,0.1,81.4,8.2,47.7,3.3,11.5,3.8,1,1
23,24,6,32.0,66,17,0.0,85.9,11.2,55.8,5.6,14.9,7.5,1,1
24,25,6,31.0,64,15,0.0,86.7,14.2,63.8,5.7,18.3,8.4,1,1
25,26,6,31.0,64,18,0.0,86.8,17.8,71.8,6.7,21.6,10.6,1,1
26,27,6,34.0,53,18,0.0,89.0,21.6,80.3,9.2,25.8,15.0,1,1
27,28,6,32.0,55,14,0.0,89.1,25.5,88.5,7.6,29.7,13.9,1,1
28,29,6,32.0,47,13,0.3,79.9,18.4,84.4,2.2,23.8,3.9,0,1
29,30,6,33.0,50,14,0.0,88.7,22.9,92.8,7.2,28.3,12.9,1,1
30,1,7,29.0,68,19,1.0,59.9,2.5,8.6,1.1,2.9,0.4,0,1
31,2,7,27.0,75,19,1.2,55.7,2.4,8.3,0.8,2.8,0.3,0,1
32,3,7,32.0,76,20,0.7,63.1,2.6,9.2,1.3,3.0,0.5,0,1
33,4,7,33.0,78,17,0.0,80.1,4.6,18.5,2.7,5.7,1.7,0,1
34,5,7,33.0,66,14,0.0,85.9,7.6,27.9,4.8,9.1,4.9,1,1
35,6,7,32.0,63,14,0.0,87.0,10.9,37.0,5.6,12.5,6.8,1,1
36,7,7,35.0,64,18,0.2,80.0,9.7,40.4,2.8,12.1,3.2,0,1
37,8,7,33.0,68,19,0.0,85.6,12.5,49.8,6.0,15.4,8.0,1,1
38,9,7,32.0,68,14,1.4,66.6,7.7,9.2,1.1,7.4,0.6,0,1
39,10,7,33.0,69,13,0.7,66.6,6.0,9.3,1.1,5.8,0.5,0,1
40,11,7,33.0,76,14,0.0,81.1,8.1,18.7,2.6,8.1,2.2,0,1
41,12,7,31.0,75,13,0.1,75.1,7.9,27.7,1.5,9.2,0.9,0,1
42,13,7,34.0,81,15,0.0,81.8,9.7,37.2,3.0,11.7,3.4,0,1
43,14,7,34.0,61,13,0.6,73.9,7.8,22.9,1.4,8.4,0.8,0,1
44,15,7,30.0,80,19,0.4,60.7,5.2,17.0,1.1,5.9,0.5,0,1
45,16,7,28.0,76,21,0.0,72.6,7.0,25.5,0.7,8.3,0.4,0,1
46,17,7,29.0,70,14,0.0,82.8,9.4,34.1,3.2,11.1,3.6,1,1
47,18,7,31.0,68,14,0.0,85.4,12.1,43.1,4.6,14.2,6.0,1,1
48,19,7,35.0,59,17,0.0,88.1,12.0,52.8,7.7,18.2,10.9,1,1
49,20,7,33.0,65,15,0.1,81.4,12.3,62.1,2.8,16.5,4.0,1,1
50,21,7,33.0,70,17,0.0,85.4,18.5,71.5,5.2,22.4,8.8,1,1
51,22,7,28.0,79,18,0.1,73.4,16.4,79.9,1.8,21.7,2.8,0,1
52,23,7,27.0,66,22,0.4,68.2,10.5,71.3,1.8,15.4,2.1,0,1
53,24,7,28.0,78,16,0.1,70.0,9.6,79.7,1.4,14.7,1.3,0,1
54,25,7,31.0,65,18,0.0,84.3,12.5,88.7,4.8,18.5,7.3,1,1
55,26,7,36.0,53,19,0.0,89.2,17.1,98.6,10.0,23.9,15.3,1,1
56,27,7,36.0,48,13,0.0,90.3,22.2,108.5,8.7,29.4,15.3,1,1
57,28,7,33.0,76,15,0.0,86.5,24.4,117.8,5.6,32.1,11.3,1,1
58,29,7,32.0,73,15,0.0,86.6,26.7,127.0,5.6,35.0,11.9,1,1
59,30,7,31.0,79,15,0.0,85.4,28.5,136.0,4.7,37.4,10.7,1,1
60,31,7,35.0,64,17,0.0,87.2,31.9,145.7,6.8,41.2,15.7,1,1
61,1,8,36.0,45,14,0.0,78.8,4.8,10.2,2.0,4.7,0.9,0,1
62,2,8,35.0,55,12,0.4,78.0,5.8,10.0,1.7,5.5,0.8,0,1
63,3,8,35.0,63,14,0.3,76.6,5.7,10.0,1.7,5.5,0.8,0,1
64,4,8,34.0,69,13,0.0,85.0,8.2,19.8,4.0,8.2,3.9,1,1
65,5,8,34.0,65,13,0.0,86.8,11.1,29.7,5.2,11.5,6.1,1,1
66,6,8,32.0,75,14,0.0,86.4,13.0,39.1,5.2,14.2,6.8,1,1
67,7,8,32.0,69,16,0.0,86.5,15.5,48.6,5.5,17.2,8.0,1,1
68,8,8,32.0,60,18,0.3,77.1,11.3,47.0,2.2,14.1,2.6,0,1
69,9,8,35.0,59,17,0.0,87.4,14.8,57.0,6.9,17.9,9.9,1,1
70,10,8,35.0,55,14,0.0,88.9,18.6,67.0,7.4,21.9,11.6,1,1
71,11,8,35.0,63,13,0.0,88.9,21.7,77.0,7.1,25.5,12.1,1,1
72,12,8,35.0,51,13,0.3,81.3,15.6,75.1,2.5,20.7,4.2,0,1
73,13,8,35.0,63,15,0.0,87.0,19.0,85.1,5.9,24.4,10.2,1,1
74,14,8,33.0,66,14,0.0,87.0,21.7,94.7,5.7,27.2,10.6,1,1
75,15,8,36.0,55,13,0.3,82.4,15.6,92.5,3.7,22.0,6.3,1,1
76,16,8,36.0,61,18,0.3,80.2,11.7,90.4,2.8,17.6,4.2,1,1
77,17,8,37.0,52,18,0.0,89.3,16.0,100.7,9.7,22.9,14.6,1,1
78,18,8,36.0,54,18,0.0,89.4,20.0,110.9,9.7,27.5,16.1,1,1
79,19,8,35.0,62,19,0.0,89.4,23.2,120.9,9.7,31.3,17.2,1,1
80,20,8,35.0,68,19,0.0,88.3,25.9,130.6,8.8,34.7,16.8,1,1
81,21,8,36.0,58,19,0.0,88.6,29.6,141.1,9.2,38.8,18.4,1,1
82,22,8,36.0,55,18,0.0,89.1,33.5,151.3,9.9,43.1,20.4,1,1
83,23,8,36.0,53,16,0.0,89.5,37.6,161.5,10.4,47.5,22.3,1,1
84,24,8,34.0,64,14,0.0,88.9,40.5,171.3,9.0,50.9,20.9,1,1
85,25,8,35.0,60,15,0.0,88.9,43.9,181.3,8.2,54.7,20.3,1,1
86,26,8,31.0,78,18,0.0,85.8,45.6,190.6,4.7,57.1,13.7,1,1
87,27,8,33.0,82,21,0.0,84.9,47.0,200.2,4.4,59.3,13.2,1,1
88,28,8,34.0,64,16,0.0,89.4,50.2,210.4,7.3,62.9,19.9,1,1
89,29,8,35.0,48,18,0.0,90.1,54.2,220.4,12.5,67.4,30.2,1,1
90,30,8,35.0,70,17,0.8,72.7,25.2,180.4,1.7,37.4,4.2,0,1
91,31,8,28.0,80,21,16.8,52.5,8.7,8.7,0.6,8.3,0.3,0,1
92,1,9,25.0,76,17,7.2,46.0,1.3,7.5,0.2,1.8,0.1,0,1
93,2,9,22.0,86,15,10.1,30.5,0.7,7.0,0.0,1.1,0.0,0,1
94,3,9,25.0,78,15,3.8,42.6,1.2,7.5,0.1,1.7,0.0,0,1
95,4,9,29.0,73,17,0.1,68.4,1.9,15.7,1.4,2.9,0.5,0,1
96,5,9,29.0,75,16,0.0,80.8,3.4,24.0,2.8,5.1,1.7,1,1
97,6,9,29.0,74,19,0.1,75.8,3.6,32.2,2.1,5.6,0.9,0,1
98,7,9,31.0,71,17,0.3,69.6,3.2,30.1,1.5,5.1,0.6,0,1
99,8,9,30.0,73,17,0.9,62.0,2.6,8.4,1.1,3.0,0.4,0,1
100,9,9,30.0,77,15,1.0,56.1,2.1,8.4,0.7,2.6,0.2,0,1
101,10,9,33.0,73,12,1.8,59.9,2.2,8.9,0.7,2.7,0.3,0,1
102,11,9,30.0,77,21,1.8,58.5,1.9,8.4,1.1,2.4,0.3,0,1
103,12,9,29.0,88,13,0.0,71.0,2.6,16.6,1.2,3.7,0.5,0,1
104,13,9,25.0,86,21,4.6,40.9,1.3,7.5,0.1,1.8,0.0,0,1
105,14,9,22.0,76,26,8.3,47.4,1.1,7.0,0.4,1.6,0.1,0,1
106,15,9,24.0,82,15,0.4,44.9,0.9,7.3,0.2,1.4,0.0,0,1
107,16,9,30.0,65,14,0.0,78.1,3.2,15.7,1.9,4.2,0.8,0,1
108,17,9,31.0,52,14,0.0,87.7,6.4,24.3,6.2,7.7,5.9,1,1
109,18,9,32.0,49,11,0.0,89.4,9.8,33.1,6.8,11.3,7.7,1,1
110,19,9,29.0,57,14,0.0,89.3,12.5,41.3,7.8,14.2,9.7,1,1
111,20,9,28.0,84,18,0.0,83.8,13.5,49.3,4.5,16.0,6.3,1,1
112,21,9,31.0,55,11,0.0,87.8,16.5,57.9,5.4,19.2,8.3,1,1
113,22,9,31.0,50,19,0.6,77.8,10.6,41.4,2.4,12.9,2.8,0,1
114,23,9,32.0,54,11,0.5,73.7,7.9,30.4,1.2,9.6,0.7,0,1
115,24,9,29.0,65,19,0.6,68.3,5.5,15.2,1.5,5.8,0.7,0,1
116,25,9,26.0,81,21,5.8,48.6,3.0,7.7,0.4,3.0,0.1,0,1
117,26,9,31.0,54,11,0.0,82.0,6.0,16.3,2.5,6.2,1.7,0,1
118,27,9,31.0,66,11,0.0,85.7,8.3,24.9,4.0,9.0,4.1,1,1
119,28,9,32.0,47,14,0.7,77.5,7.1,8.8,1.8,6.8,0.9,0,1
120,29,9,26.0,80,16,1.8,47.4,2.9,7.7,0.3,3.0,0.1,0,1
121,30,9,25.0,78,14,1.4,45.0,1.9,7.5,0.2,2.4,0.1,0,1
124,1,6,32.0,71,12,0.7,57.1,2.5,8.2,0.6,2.8,0.2,0,0
125,2,6,30.0,73,13,4.0,55.7,2.7,7.8,0.6,2.9,0.2,0,0
126,3,6,29.0,80,14,2.0,48.7,2.2,7.6,0.3,2.6,0.1,0,0
127,4,6,30.0,64,14,0.0,79.4,5.2,15.4,2.2,5.6,1.0,0,0
128,5,6,32.0,60,14,0.2,77.1,6.0,17.6,1.8,6.5,0.9,0,0
129,6,6,35.0,54,11,0.1,83.7,8.4,26.3,3.1,9.3,3.1,1,0
130,7,6,35.0,44,17,0.2,85.6,9.9,28.9,5.4,10.7,6.0,1,0
131,8,6,28.0,51,17,1.3,71.4,7.7,7.4,1.5,7.3,0.8,0,0
132,9,6,27.0,59,18,0.1,78.1,8.5,14.7,2.4,8.3,1.9,0,0
133,10,6,30.0,41,15,0.0,89.4,13.3,22.5,8.4,13.1,10.0,1,0
134,11,6,31.0,42,21,0.0,90.6,18.2,30.5,13.4,18.0,16.7,1,0
135,12,6,27.0,58,17,0.0,88.9,21.3,37.8,8.7,21.2,12.9,1,0
136,13,6,30.0,52,15,2.0,72.3,11.4,7.8,1.4,10.9,0.9,0,0
137,14,6,27.0,79,16,0.7,53.4,6.4,7.3,0.5,6.1,0.3,0,0
138,15,6,28.0,90,15,0.0,66.8,7.2,14.7,1.2,7.1,0.6,0,0
139,16,6,29.0,87,15,0.4,47.4,4.2,8.0,0.2,4.1,0.1,0,0
140,17,6,31.0,69,17,4.7,62.2,3.9,8.0,1.1,3.8,0.4,0,0
141,18,6,33.0,62,10,8.7,65.5,4.6,8.3,0.9,4.4,0.4,0,0
142,19,6,32.0,67,14,4.5,64.6,4.4,8.2,1.0,4.2,0.4,0,0
143,20,6,31.0,72,14,0.2,60.2,3.8,8.0,0.8,3.7,0.3,0,0
144,21,6,32.0,55,14,0.0,86.2,8.3,18.4,5.0,8.2,4.9,1,0
145,22,6,33.0,46,14,1.1,78.3,8.1,8.3,1.9,7.7,1.2,0,0
146,23,6,33.0,59,16,0.8,74.2,7.0,8.3,1.6,6.7,0.8,0,0
147,24,6,35.0,68,16,0.0,85.3,10.0,17.0,4.9,9.9,5.3,1,0
148,25,6,34.0,70,16,0.0,86.0,12.8,25.6,5.4,12.7,6.7,1,0
149,26,6,36.0,62,16,0.0,87.8,16.5,34.5,7.0,16.4,9.5,1,0
150,27,6,36.0,55,15,0.0,89.1,20.9,43.3,8.0,20.8,12.0,1,0
151,28,6,37.0,37,13,0.0,92.5,27.2,52.4,11.7,27.1,18.4,1,0
152,29,6,37.0,36,13,0.6,86.2,17.9,36.7,4.8,17.8,7.2,1,0
153,30,6,34.0,42,15,1.7,79.7,12.0,8.5,2.2,11.5,2.2,0,0
154,1,7,28.0,58,18,2.2,63.7,3.2,8.5,1.2,3.3,0.5,0,0
155,2,7,33.0,48,16,0.0,87.6,7.9,17.8,6.8,7.8,6.4,1,0
156,3,7,34.0,56,17,0.1,84.7,9.7,27.3,4.7,10.3,5.2,1,0
157,4,7,34.0,58,18,0.0,88.0,13.6,36.8,8.0,14.1,9.9,1,0
158,5,7,34.0,45,18,0.0,90.5,18.7,46.4,11.3,18.7,15.0,1,0
159,6,7,35.0,42,15,0.3,84.7,15.5,45.1,4.3,16.7,6.3,1,0
160,7,7,38.0,43,13,0.5,85.0,13.0,35.4,4.1,13.7,5.2,1,0
161,8,7,35.0,47,18,6.0,80.8,9.8,9.7,3.1,9.4,3.0,1,0
162,9,7,36.0,43,15,1.9,82.3,9.4,9.9,3.2,9.0,3.1,1,0
163,10,7,34.0,51,16,3.8,77.5,8.0,9.5,2.0,7.7,1.3,0,0
164,11,7,34.0,56,15,2.9,74.8,7.1,9.5,1.6,6.8,0.8,0,0
165,12,7,36.0,44,13,0.0,90.1,12.6,19.4,8.3,12.5,9.6,1,0
166,13,7,39.0,45,13,0.6,85.2,11.3,10.4,4.2,10.9,4.7,1,0
168,15,7,34.0,45,17,0.0,90.5,18.0,24.1,10.9,17.7,14.1,1,0
169,16,7,31.0,83,17,0.0,84.5,19.4,33.1,4.7,19.2,7.3,1,0
170,17,7,32.0,81,17,0.0,84.6,21.1,42.3,4.7,20.9,7.7,1,0
171,18,7,33.0,68,15,0.0,86.1,23.9,51.6,5.2,23.9,9.1,1,0
172,19,7,34.0,58,16,0.0,88.1,27.8,61.1,7.3,27.7,13.0,1,0
173,20,7,36.0,50,16,0.0,89.9,32.7,71.0,9.5,32.6,17.3,1,0
174,21,7,36.0,29,18,0.0,93.9,39.6,80.6,18.5,39.5,30.0,1,0
175,22,7,32.0,48,18,0.0,91.5,44.2,90.1,13.2,44.0,25.4,1,0
176,23,7,31.0,71,17,0.0,87.3,46.6,99.0,6.9,46.5,16.3,1,0
177,24,7,33.0,63,17,1.1,72.8,20.9,56.6,1.6,21.7,2.5,0,0
178,25,7,39.0,64,9,1.2,73.8,11.7,15.9,1.1,11.4,0.7,0,0
179,26,7,35.0,58,10,0.2,78.3,10.8,19.7,1.6,10.7,1.0,0,0
180,27,7,29.0,87,18,0.0,80.0,11.8,28.3,2.8,11.8,3.2,0,0
181,28,7,33.0,57,16,0.0,87.5,15.7,37.6,6.7,15.7,9.0,1,0
182,29,7,34.0,59,16,0.0,88.1,19.5,47.2,7.4,19.5,10.9,1,0
183,30,7,36.0,56,16,0.0,88.9,23.8,57.1,8.2,23.8,13.2,1,0
184,31,7,37.0,55,15,0.0,89.3,28.3,67.2,8.3,28.3,14.5,1,0
185,1,8,38.0,52,14,0.0,78.3,4.4,10.5,2.0,4.4,0.8,0,0
186,2,8,40.0,34,14,0.0,93.3,10.8,21.4,13.8,10.6,13.5,1,0
187,3,8,39.0,33,17,0.0,93.7,17.1,32.1,17.2,16.9,19.5,1,0
188,4,8,38.0,35,15,0.0,93.8,23.0,42.7,15.7,22.9,20.9,1,0
189,5,8,34.0,42,17,0.1,88.3,23.6,52.5,19.0,23.5,12.6,1,0
190,6,8,30.0,54,14,3.1,70.5,11.0,9.1,1.3,10.5,0.8,0,0
191,7,8,34.0,63,13,2.9,69.7,7.2,9.8,1.2,6.9,0.6,0,0
192,8,8,37.0,56,11,0.0,87.4,11.2,20.2,5.2,11.0,5.9,1,0
193,9,8,39.0,43,12,0.0,91.7,16.5,30.9,9.6,16.4,12.7,1,0
194,10,8,39.0,39,15,0.2,89.3,15.8,35.4,8.2,15.8,10.7,1,0
195,11,8,40.0,31,15,0.0,94.2,22.5,46.3,16.6,22.4,21.6,1,0
196,12,8,39.0,21,17,0.4,93.0,18.4,41.5,15.5,18.4,18.8,1,0
197,13,8,35.0,34,16,0.2,88.3,16.9,45.1,7.5,17.5,10.5,1,0
198,14,8,37.0,40,13,0.0,91.9,22.3,55.5,10.8,22.3,15.7,1,0
199,15,8,35.0,46,13,0.3,83.9,16.9,54.2,3.5,19.0,5.5,1,0
200,16,8,40.0,41,10,0.1,92.0,22.6,65.1,9.5,24.2,14.8,1,0
201,17,8,42.0,24,9,0.0,96.0,30.3,76.4,15.7,30.4,24.0,1,0
202,18,8,37.0,37,14,0.0,94.3,35.9,86.8,16.0,35.9,26.3,1,0
203,19,8,35.0,66,15,0.1,82.7,32.7,96.8,3.3,35.5,7.7,1,0
204,20,8,36.0,81,15,0.0,83.7,34.4,107.0,3.8,38.1,9.0,1,0
205,21,8,36.0,71,15,0.0,86.0,36.9,117.1,5.1,41.3,12.2,1,0
206,22,8,37.0,53,14,0.0,89.5,41.1,127.5,8.0,45.5,18.1,1,0
207,23,8,36.0,43,16,0.0,91.2,46.1,137.7,11.5,50.2,24.5,1,0
208,24,8,35.0,38,15,0.0,92.1,51.3,147.7,12.2,54.9,26.9,1,0
209,25,8,34.0,40,18,0.0,92.1,56.3,157.5,14.3,59.5,31.1,1,0
210,26,8,33.0,37,16,0.0,92.2,61.3,167.2,13.1,64.0,30.3,1,0
211,27,8,36.0,54,14,0.0,91.0,65.9,177.3,10.0,68.0,26.1,1,0
212,28,8,35.0,56,14,0.4,79.2,37.0,166.0,2.1,30.6,6.1,0,0
213,29,8,35.0,53,17,0.5,80.2,20.7,149.2,2.7,30.6,5.9,1,0
214,30,8,34.0,49,15,0.0,89.2,24.8,159.1,8.1,35.7,16.0,1,0
215,31,8,30.0,59,19,0.0,89.1,27.8,168.2,9.8,39.3,19.4,1,0
216,1,9,29.0,86,16,0.0,37.9,0.9,8.2,0.1,1.4,0.0,0,0
217,2,9,28.0,67,19,0.0,75.4,2.9,16.3,2.0,4.0,0.8,0,0
218,3,9,28.0,75,16,0.0,82.2,4.4,24.3,3.3,6.0,2.5,1,0
219,4,9,30.0,66,15,0.2,73.5,4.1,26.6,1.5,6.0,0.7,0,0
220,5,9,30.0,58,12,4.1,66.1,4.0,8.4,1.0,3.9,0.4,0,0
221,6,9,34.0,71,14,6.5,64.5,3.3,9.1,1.0,3.5,0.4,0,0
222,7,9,31.0,62,15,0.0,83.3,5.8,17.7,3.8,6.4,3.2,1,0
223,8,9,30.0,88,14,0.0,82.5,6.6,26.1,3.0,8.1,2.7,1,0
224,9,9,30.0,80,15,0.0,83.1,7.9,34.5,3.5,10.0,3.7,1,0
225,10,9,29.0,74,15,1.1,59.5,4.7,8.2,0.8,4.6,0.3,0,0
226,11,9,30.0,73,14,0.0,79.2,6.5,16.6,2.1,6.6,1.2,0,0
227,12,9,31.0,72,14,0.0,84.2,8.3,25.2,3.8,9.1,3.9,1,0
228,13,9,29.0,49,19,0.0,88.6,11.5,33.4,9.1,12.4,10.3,1,0
229,14,9,28.0,81,15,0.0,84.6,12.6,41.5,4.3,14.3,5.7,1,0
230,15,9,32.0,51,13,0.0,88.7,16.0,50.2,6.9,17.8,9.8,1,0
231,16,9,33.0,26,13,0.0,93.9,21.2,59.2,14.2,22.4,19.3,1,0
232,17,9,34.0,44,12,0.0,92.5,25.2,63.3,11.2,26.2,17.5,1,0
233,18,9,36.0,33,13,0.1,90.6,25.8,77.8,9.0,28.2,15.4,1,0
234,19,9,29.0,41,8,0.1,83.9,24.9,86.0,2.7,28.9,5.6,1,0
235,20,9,34.0,58,13,0.2,79.5,18.7,88.0,2.1,24.4,3.8,0,0
236,21,9,35.0,34,17,0.0,92.2,23.6,97.3,13.8,29.4,21.6,1,0
237,22,9,33.0,64,13,0.0,88.9,26.1,106.3,7.1,32.4,13.7,1,0
238,23,9,35.0,56,14,0.0,89.0,29.4,115.6,7.5,36.0,15.2,1,0
239,24,9,26.0,49,6,2.0,61.3,11.9,28.1,0.6,11.9,0.4,0,0
240,25,9,28.0,70,15,0.0,79.9,13.8,36.1,2.4,14.1,3.0,0,0
241,26,9,30.0,65,14,0.0,85.4,16.0,44.5,4.5,16.9,6.5,1,0
242,27,9,28.0,87,15,4.4,41.1,6.5,8.0,0.1,6.2,0.0,0,0
243,28,9,27.0,87,29,0.5,45.9,3.5,7.9,0.4,3.4,0.2,0,0
244,29,9,24.0,54,18,0.1,79.7,4.3,15.2,1.7,5.1,0.7,0,0
245,30,9,24.0,64,15,0.2,67.3,3.8,16.5,1.2,4.8,0.5,0,0
